id,State,City,Forecast Number,Date,Main Condition,Condition Description,Icon,Low Temperature,High Temperature,Humidity Percentage,Wind MPH,Wind Direction,Rain Inches,Snow Inches,Pressure,Cloud Percent,UTC Timestamp,Timezone Offset
1,Alaska,Anchorage,1,Wed 5/3,Snow,light snow,http://openweathermap.org/img/wn/13d@2x.png,34.18,36.45,98,7,SW,0,1.28,1008,100,1683147600,-28800
2,Alaska,Anchorage,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,34.38,43.56,69,6,N,0,0,1011,100,1683234000,-28800
3,Alaska,Anchorage,3,Fri 5/5,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,35.2,40.84,72,5,NW,0,0,1012,100,1683320400,-28800
4,Alaska,Anchorage,4,Sat 5/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,38.03,42.35,74,4,S,0,0,1012,71,1683406800,-28800
5,Alaska,Anchorage,5,Sun 5/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.27,44.37,66,6,NW,0,0,1015,6,1683493200,-28800
6,Alaska,Fairbanks,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,28.62,40.89,79,6,SW,0,0,1005,94,1683147600,-28800
7,Alaska,Fairbanks,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,27.97,47.01,65,3,W,0,0,1011,88,1683234000,-28800
8,Alaska,Fairbanks,3,Fri 5/5,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,31.01,50.76,57,7,NE,0,0,1013,22,1683320400,-28800
9,Alaska,Fairbanks,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.03,45.7,72,5,N,0,0,1012,95,1683406800,-28800
10,Alaska,Fairbanks,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,37.35,45.99,82,5,SW,0.12,0,1021,99,1683493200,-28800
11,Alaska,Juneau,1,Wed 5/3,Snow,rain and snow,http://openweathermap.org/img/wn/13d@2x.png,35.6,44.65,69,6,SW,8.84,0.37,1015,76,1683144000,-28800
12,Alaska,Juneau,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,32.94,48.47,63,5,N,0,0,1013,100,1683230400,-28800
13,Alaska,Juneau,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,38.39,51.62,72,5,N,0.11,0,1009,100,1683316800,-28800
14,Alaska,Juneau,4,Sat 5/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,42.91,45.39,97,3,SW,6.15,0,1012,100,1683403200,-28800
15,Alaska,Juneau,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.95,43.54,98,4,SE,6.41,0,1014,100,1683489600,-28800
16,Colorado,Denver/Boulder,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,46.4,73.6,26,14,S,0.48,0,1008,100,1683136800,-21600
17,Colorado,Denver/Boulder,2,Thu 5/4,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,49.14,69.3,37,11,S,4.46,0,1002,98,1683223200,-21600
18,Colorado,Denver/Boulder,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.64,70.7,33,17,W,0.36,0,1005,2,1683309600,-21600
19,Colorado,Denver/Boulder,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,43.68,63.61,36,20,SW,1.08,0,1006,42,1683396000,-21600
20,Colorado,Denver/Boulder,5,Sun 5/7,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,46.22,60.39,32,10,NE,4.79,0,1011,40,1683482400,-21600
21,Colorado,Grand Junction,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,52.39,77.14,21,10,SE,0,0,1007,100,1683140400,-21600
22,Colorado,Grand Junction,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,57.04,72.12,30,24,S,0.11,0,1005,86,1683226800,-21600
23,Colorado,Grand Junction,3,Fri 5/5,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,47.75,64.8,22,19,SW,0.39,0,1008,100,1683313200,-21600
24,Colorado,Grand Junction,4,Sat 5/6,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,46.72,64.47,25,16,SW,2.59,0,1011,44,1683399600,-21600
25,Colorado,Grand Junction,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,44.62,63.27,36,8,SE,0.27,0,1014,65,1683486000,-21600
26,Colorado,Pueblo,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,48.33,76.19,39,12,S,0,0,1009,87,1683136800,-21600
27,Colorado,Pueblo,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,57.49,75.74,28,15,NW,0,0,1001,96,1683223200,-21600
28,Colorado,Pueblo,3,Fri 5/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,53.08,78.44,20,27,S,0,0,1005,0,1683309600,-21600
29,Colorado,Pueblo,4,Sat 5/6,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,53.4,75.15,15,21,SW,0,0,1006,0,1683396000,-21600
30,Colorado,Pueblo,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,50.23,69.66,26,13,SE,0.21,0,1010,58,1683482400,-21600
31,Illinois,Chicago,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,37.51,57.96,51,13,NW,0,0,1014,8,1683133200,-18000
32,Illinois,Chicago,2,Thu 5/4,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,40.96,66.94,48,8,SE,0,0,1016,52,1683219600,-18000
33,Illinois,Chicago,3,Fri 5/5,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,49.86,69.1,50,15,SE,0,0,1016,99,1683306000,-18000
34,Illinois,Chicago,4,Sat 5/6,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,51.85,69.37,45,12,E,0,0,1019,53,1683392400,-18000
35,Illinois,Chicago,5,Sun 5/7,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,51.15,70.54,51,9,E,0,0,1017,97,1683478800,-18000
36,Illinois,Lincoln,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,40.62,60.73,47,12,NW,0,0,1015,8,1683133200,-18000
37,Illinois,Lincoln,2,Thu 5/4,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,45.27,69.67,43,9,SE,0,0,1015,16,1683219600,-18000
38,Illinois,Lincoln,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,53.17,58.44,88,18,E,11.95,0,1015,100,1683306000,-18000
39,Illinois,Lincoln,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,53.65,59.99,83,13,E,0,0,1017,100,1683392400,-18000
40,Illinois,Lincoln,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,51.71,73.47,65,12,SE,1.38,0,1015,100,1683478800,-18000
41,Indiana,Indianapolis,1,Wed 5/3,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,40.12,57.79,50,13,NW,0.11,0,1012,21,1683133200,-14400
42,Indiana,Indianapolis,2,Thu 5/4,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,41.77,65.44,47,5,E,0,0,1017,13,1683219600,-14400
43,Indiana,Indianapolis,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,47.88,64.42,58,12,SE,2.93,0,1018,100,1683306000,-14400
44,Indiana,Indianapolis,4,Sat 5/6,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,52.34,64.11,74,12,E,2.89,0,1018,100,1683392400,-14400
45,Indiana,Indianapolis,5,Sun 5/7,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,51.71,73.63,52,8,SE,0,0,1017,32,1683478800,-14400
46,Indiana,Northern Indiana,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,36.95,48.11,74,19,NW,0,0,1012,97,1683133200,-14400
47,Indiana,Northern Indiana,2,Thu 5/4,Clouds,scattered clouds,http://openweathermap.org/img/wn/03d@2x.png,34.92,57.9,59,7,E,0,0,1017,43,1683219600,-14400
48,Indiana,Northern Indiana,3,Fri 5/5,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,43,64.27,55,15,E,0,0,1019,100,1683306000,-14400
49,Indiana,Northern Indiana,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,44.87,63.39,57,15,E,0,0,1020,95,1683392400,-14400
50,Indiana,Northern Indiana,5,Sun 5/7,Clouds,broken clouds,http://openweathermap.org/img/wn/04d@2x.png,43.75,68,57,10,E,0,0,1018,55,1683478800,-14400
51,Iowa,Davenport/Quad Cities,1,Wed 5/3,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,38.79,60.42,46,12,NW,0,0,1015,11,1683133200,-18000
52,Iowa,Davenport/Quad Cities,2,Thu 5/4,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,43.21,70.18,47,10,S,0,0,1014,2,1683219600,-18000
53,Iowa,Davenport/Quad Cities,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,50.58,64.45,73,17,SE,2.79,0,1013,100,1683306000,-18000
54,Iowa,Davenport/Quad Cities,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,54,65.64,64,14,E,0,0,1018,89,1683392400,-18000
55,Iowa,Davenport/Quad Cities,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,50.29,71.37,79,14,E,4.59,0,1015,100,1683478800,-18000
56,Iowa,Des Moines,1,Wed 5/3,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,38.05,66.2,35,8,NW,0,0,1015,1,1683136800,-18000
57,Iowa,Des Moines,2,Thu 5/4,Clouds,few clouds,http://openweathermap.org/img/wn/02d@2x.png,46.76,74.39,47,14,S,0,0,1010,24,1683223200,-18000
58,Iowa,Des Moines,3,Fri 5/5,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,54.23,62.98,93,12,E,6.36,0,1010,100,1683309600,-18000
59,Iowa,Des Moines,4,Sat 5/6,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,53.85,63.12,77,16,E,0,0,1015,100,1683396000,-18000
60,Iowa,Des Moines,5,Sun 5/7,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,54.12,75.9,87,14,SE,5.41,0,1011,100,1683482400,-18000
61,Kansas,Dodge City,1,Wed 5/3,Rain,moderate rain,http://openweathermap.org/img/wn/10d@2x.png,48.18,75.61,43,18,SE,4.02,0,1013,66,1683136800,-18000
62,Kansas,Dodge City,2,Thu 5/4,Rain,light rain,http://openweathermap.org/img/wn/10d@2x.png,58.01,74.77,51,20,S,0.94,0,1004,100,1683223200,-18000
63,Kansas,Dodge City,3,Fri 5/5,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,54.95,83.01,39,11,E,0,0,1005,1,1683309600,-18000
64,Kansas,Dodge City,4,Sat 5/6,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,57.02,86.86,17,22,S,0,0,1006,0,1683396000,-18000
65,Kansas,Dodge City,5,Sun 5/7,Clear,sky is clear,http://openweathermap.org/img/wn/01d@2x.png,52.77,82.33,34,13,S,0,0,1007,1,1683482400,-18000
66,Kansas,Goodland,1,Wed 5/3,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,41.4,75.33,50,18,SE,0,0,1010,98,1683136800,-21600
67,Kansas,Goodland,2,Thu 5/4,Clouds,overcast clouds,http://openweathermap.org/img/wn/04d@2x.png,53.73,77.11,47,19,S,0,0,1002,100,1683223200,-21600
